발생시간(초),경도,위도,속도,누적주행거리,방향
0,127.04379404513705,37.584555846348024,17.0,4.315789473684211,165.43968566604053
1,127.04380635815143,37.58451828006365,17.0,8.631578947368421,165.4396785982517
2,127.04381867116581,37.58448071377927,17.0,12.947368421052632,165.43967156163967
3,127.04383098418019,37.5844431474949,17.0,17.263157894736842,165.43966453093594
4,127.04384329719457,37.584405581210525,17.0,21.578947368421055,165.43965752196607
5,127.04385561020895,37.58436801492615,17.0,25.894736842105264,165.43965045774405
6,127.04386792322333,37.58433044864178,17.0,30.210526315789473,165.43964342351853
7,127.04388023623771,37.5842928823574,17.0,34.526315789473685,165.43963638693867
8,127.0438925492521,37.584255316073026,17.0,38.8421052631579,165.4396293480046
9,127.04390486226649,37.58421774978866,17.0,43.15789473684211,165.4396223173395
10,127.04391717528087,37.58418018350428,17.0,47.473684210526315,165.43961530958882
11,127.04392948829525,37.584142617219904,17.0,51.78947368421053,165.43960824422493
12,127.04394180130963,37.584105050935534,17.0,56.10526315789474,165.43960121239877
13,127.04395411432401,37.58406748465116,17.0,60.421052631578945,165.43959417349686
14,127.04396642733839,37.58402991836678,17.0,64.73684210526316,165.43958716931309
15,127.04397874035277,37.58399235208241,17.0,69.05263157894737,165.43958007162405
16,127.04399105336717,37.583954785798035,17.0,73.36842105263158,165.43957309980397
17,127.04400336638155,37.58391721951366,17.0,77.6842105263158,165.43956603093773
18,127.04401567939593,37.58387965322929,17.0,82.0,165.43955899915022
19,127.0440279924103,37.58384208694491,17.0,86.31578947368422,165.4395519914575
20,127.04404030542469,37.583804520660536,17.0,90.63157894736842,165.439544927332
21,127.04405261843907,37.583766954376166,17.0,94.94736842105263,165.4395378908423
22,127.04406493145345,37.58372938809179,17.0,99.26315789473685,166.64685976418843
23,127.0440762405532,37.58369163241338,17.0,103.57894736842105,167.77779202002114
24,127.04408660925034,37.58365369932282,17.0,107.89473684210526,167.77778597442216
25,127.04409697794749,37.58361576623226,17.0,112.21052631578948,167.77777990868321
26,127.04410734664464,37.5835778331417,17.0,116.52631578947368,167.7777739001383
27,127.04411771534178,37.58353990005114,17.0,120.84210526315789,167.77776785554977
28,127.04412808403893,37.58350196696059,17.0,125.15789473684211,167.77776181593651
29,127.04413845273608,37.58346403387003,17.0,129.47368421052633,166.2743350812318
30,127.04415007151437,37.5834263366294,17.0,133.78947368421052,165.43980084763007
31,127.04416238424967,37.58338877031604,17.0,138.10526315789474,165.43979384369504
32,127.04417469698498,37.583351204002675,17.0,142.42105263157896,165.43978677742484
33,127.04418700972028,37.583313637689315,17.0,146.73684210526315,165.43977976996177
34,127.04419932245558,37.583276071375955,17.0,151.05263157894737,165.43977270960625
35,127.04421163519089,37.583238505062596,17.0,155.3684210526316,165.43976567334585
36,127.0442239479262,37.583200938749236,17.0,159.68421052631578,165.4397586694431
37,127.04423626066149,37.58316337243587,17.0,164.0,265.0291506293151
38,127.04419614633298,37.58316060751723,8.0,167.55714285714285,265.85052666171765
39,127.04415588446408,37.583158292746226,8.0,171.1142857142857,265.8505267902889
40,127.04411562259516,37.58315597797523,8.0,174.67142857142858,265.8505268992022
41,127.04407536072625,37.58315366320423,8.0,178.22857142857143,265.85052705004455
42,127.04403509885734,37.58315134843323,8.0,181.78571428571428,265.85052716770775
43,127.04399483698843,37.58314903366223,8.0,185.34285714285716,265.8505272932105
44,127.04395457511951,37.583146718891236,8.0,188.9,265.85052742746325
45,127.04391431325061,37.58314440412023,8.0,192.45714285714286,265.8505275673976
46,127.04387405138169,37.58314208934924,8.0,196.0142857142857,265.85052767324237
47,127.04383378951277,37.583139774578235,8.0,199.57142857142856,265.85052783022144
48,127.04379352764387,37.58313745980724,8.0,203.12857142857143,265.85052794174777
49,127.04375326577495,37.58313514503624,8.0,206.68571428571428,265.8505280677057
50,127.04371300390605,37.58313283026524,8.0,210.24285714285713,265.85052819582154
51,127.04367274203713,37.58313051549424,8.0,213.8,265.8505283305294
